index,totalAssertions,validAssertions,passedAssertions,totalAssertionsforQLTY,measuredPROD,referencePROD, measuredUS, referenceUS, measuredQLTY, referenceQLTY
0,48,0,7,8, 14.58,  0.00,3,0, 87.50,  0.00
1,48,3,7,8, 14.58,  6.25,3,1, 87.50,100.00
2,48,2,9,10, 18.75,  4.17,4,1, 90.00,100.00
3,48,5,9,10, 18.75, 10.42,4,2, 90.00,100.00
4,48,2,7,8, 14.58,  4.17,3,1, 87.50,100.00
5,48,5,7,8, 14.58, 10.42,3,2, 87.50,100.00
6,48,4,9,10, 18.75,  8.33,4,2, 90.00,100.00
7,48,7,9,10, 18.75, 14.58,4,3, 90.00,100.00
8,48,3,7,8, 14.58,  6.25,3,1, 87.50,100.00
9,48,6,7,8, 14.58, 12.50,3,2, 87.50,100.00
10,48,5,9,10, 18.75, 10.42,4,2, 90.00,100.00
11,48,8,9,10, 18.75, 16.67,4,3, 90.00,100.00
12,48,5,7,8, 14.58, 10.42,3,2, 87.50,100.00
13,48,8,7,8, 14.58, 16.67,3,3, 87.50,100.00
14,48,7,16,28, 33.33, 14.58,9,3, 57.14,100.00
15,48,10,16,28, 33.33, 20.83,9,4, 57.14,100.00
16,48,5,7,8, 14.58, 10.42,3,1, 87.50,100.00
17,48,8,7,8, 14.58, 16.67,3,2, 87.50,100.00
18,48,7,9,10, 18.75, 14.58,4,2, 90.00,100.00
19,48,10,9,10, 18.75, 20.83,4,3, 90.00,100.00
20,48,7,7,8, 14.58, 14.58,3,2, 87.50,100.00
21,48,10,7,8, 14.58, 20.83,3,3, 87.50,100.00
22,48,9,9,10, 18.75, 18.75,4,3, 90.00,100.00
23,48,12,9,10, 18.75, 25.00,4,4, 90.00,100.00
24,48,8,7,8, 14.58, 16.67,3,2, 87.50,100.00
25,48,11,7,8, 14.58, 22.92,3,3, 87.50,100.00
26,48,10,9,10, 18.75, 20.83,4,3, 90.00,100.00
27,48,13,9,10, 18.75, 27.08,4,4, 90.00,100.00
28,48,10,7,8, 14.58, 20.83,3,3, 87.50,100.00
29,48,13,7,8, 14.58, 27.08,3,4, 87.50,100.00
30,48,12,24,41, 50.00, 25.00,11,4, 58.54,100.00
31,48,15,24,41, 50.00, 31.25,11,5, 58.54,100.00
32,48,6,7,8, 14.58, 12.50,3,1, 87.50,100.00
33,48,9,7,8, 14.58, 18.75,3,2, 87.50,100.00
34,48,8,9,10, 18.75, 16.67,4,2, 90.00,100.00
35,48,11,9,10, 18.75, 22.92,4,3, 90.00,100.00
36,48,8,7,8, 14.58, 16.67,3,2, 87.50,100.00
37,48,11,7,8, 14.58, 22.92,3,3, 87.50,100.00
38,48,10,9,10, 18.75, 20.83,4,3, 90.00,100.00
39,48,13,9,10, 18.75, 27.08,4,4, 90.00,100.00
40,48,9,7,8, 14.58, 18.75,3,2, 87.50,100.00
41,48,12,7,8, 14.58, 25.00,3,3, 87.50,100.00
42,48,11,9,10, 18.75, 22.92,4,3, 90.00,100.00
43,48,14,9,10, 18.75, 29.17,4,4, 90.00,100.00
44,48,11,7,8, 14.58, 22.92,3,3, 87.50,100.00
45,48,14,7,8, 14.58, 29.17,3,4, 87.50,100.00
46,48,13,16,28, 33.33, 27.08,9,4, 57.14,100.00
