index,totalAssertions,validAssertions,passedAssertions,totalAssertionsforQLTY,measuredPROD,referencePROD, measuredUS, referenceUS, measuredQLTY, referenceQLTY
0,72,0,12,25, 16.67,  0.00,4,0, 48.00,  0.00
1,72,6,9,25, 12.50,  8.33,4,1, 36.00,100.00
2,72,5,9,25, 12.50,  6.94,4,1, 36.00,100.00
3,72,11,6,25,  8.33, 15.28,4,2, 24.00,100.00
4,72,7,15,32, 20.83,  9.72,5,1, 46.88,100.00
5,72,13,12,32, 16.67, 18.06,5,2, 37.50,100.00
6,72,12,12,32, 16.67, 16.67,5,2, 37.50,100.00
7,72,18,9,32, 12.50, 25.00,5,3, 28.13,100.00
8,72,5,12,25, 16.67,  6.94,4,1, 48.00,100.00
9,72,11,9,25, 12.50, 15.28,4,2, 36.00,100.00
10,72,10,9,25, 12.50, 13.89,4,2, 36.00,100.00
11,72,16,6,25,  8.33, 22.22,4,3, 24.00,100.00
12,72,12,15,32, 20.83, 16.67,5,2, 46.88,100.00
13,72,18,12,32, 16.67, 25.00,5,3, 37.50,100.00
14,72,17,13,37, 18.06, 23.61,6,3, 35.14,100.00
15,72,23,10,37, 13.89, 31.94,6,4, 27.03,100.00
16,72,7,13,25, 18.06,  9.72,4,1, 52.00,100.00
17,72,13,10,25, 13.89, 18.06,4,2, 40.00,100.00
18,72,12,10,25, 13.89, 16.67,4,2, 40.00,100.00
19,72,18,7,25,  9.72, 25.00,4,3, 28.00,100.00
20,72,14,19,45, 26.39, 19.44,6,2, 42.22,100.00
21,72,20,16,45, 22.22, 27.78,6,3, 35.56,100.00
22,72,19,16,45, 22.22, 26.39,6,3, 35.56,100.00
23,72,25,13,45, 18.06, 34.72,6,4, 28.89,100.00
24,72,12,13,25, 18.06, 16.67,4,2, 52.00,100.00
25,72,18,10,25, 13.89, 25.00,4,3, 40.00,100.00
26,72,17,10,25, 13.89, 23.61,4,3, 40.00,100.00
27,72,23,7,25,  9.72, 31.94,4,4, 28.00,100.00
28,72,19,19,45, 26.39, 26.39,6,3, 42.22,100.00
29,72,25,16,45, 22.22, 34.72,6,4, 35.56,100.00
30,72,24,18,50, 25.00, 33.33,7,4, 36.00,100.00
31,72,30,15,50, 20.83, 41.67,7,5, 30.00,100.00
32,72,7,12,25, 16.67,  9.72,4,1, 48.00,100.00
33,72,13,9,25, 12.50, 18.06,4,2, 36.00,100.00
34,72,12,9,25, 12.50, 16.67,4,2, 36.00,100.00
35,72,18,6,25,  8.33, 25.00,4,3, 24.00,100.00
36,72,14,17,39, 23.61, 19.44,6,2, 43.59,100.00
37,72,20,14,39, 19.44, 27.78,6,3, 35.90,100.00
38,72,19,14,39, 19.44, 26.39,6,3, 35.90,100.00
39,72,25,11,39, 15.28, 34.72,6,4, 28.21,100.00
40,72,12,12,25, 16.67, 16.67,4,2, 48.00,100.00
41,72,18,9,25, 12.50, 25.00,4,3, 36.00,100.00
