index,totalAssertions,validAssertions,passedAssertions,totalAssertionsforQLTY,measuredPROD,referencePROD, measuredUS, referenceUS, measuredQLTY, referenceQLTY
0,55,0,0,0,  0.00,  0.00,0,0,  0.00,  0.00
1,55,1,0,0,  0.00,  1.82,0,1,  0.00,100.00
2,55,1,4,28,  7.27,  1.82,4,1, 14.29,100.00
3,55,2,4,28,  7.27,  3.64,4,2, 14.29,100.00
4,55,1,0,0,  0.00,  1.82,0,1,  0.00,100.00
5,55,2,0,0,  0.00,  3.64,0,2,  0.00,100.00
6,55,2,4,28,  7.27,  3.64,4,2, 14.29,100.00
7,55,3,4,28,  7.27,  5.45,4,3, 14.29,100.00
8,55,3,0,0,  0.00,  5.45,0,1,  0.00,100.00
9,55,4,0,0,  0.00,  7.27,0,2,  0.00,100.00
10,55,4,4,28,  7.27,  7.27,4,2, 14.29,100.00
11,55,5,4,28,  7.27,  9.09,4,3, 14.29,100.00
12,55,4,0,0,  0.00,  7.27,0,2,  0.00,100.00
13,55,5,0,0,  0.00,  9.09,0,3,  0.00,100.00
14,55,5,4,28,  7.27,  9.09,4,3, 14.29,100.00
15,55,6,4,28,  7.27, 10.91,4,4, 14.29,100.00
16,55,16,0,0,  0.00, 29.09,0,1,  0.00,100.00
17,55,17,0,0,  0.00, 30.91,0,2,  0.00,100.00
18,55,17,4,28,  7.27, 30.91,4,2, 14.29,100.00
19,55,18,4,28,  7.27, 32.73,4,3, 14.29,100.00
20,55,17,0,0,  0.00, 30.91,0,2,  0.00,100.00
21,55,18,0,0,  0.00, 32.73,0,3,  0.00,100.00
22,55,18,11,29, 20.00, 32.73,5,3, 37.93,100.00
23,55,19,11,29, 20.00, 34.55,5,4, 37.93,100.00
24,55,19,0,0,  0.00, 34.55,0,2,  0.00,100.00
25,55,20,0,0,  0.00, 36.36,0,3,  0.00,100.00
26,55,20,6,20, 10.91, 36.36,3,3, 30.00,100.00
27,55,21,6,20, 10.91, 38.18,3,4, 30.00,100.00
28,55,20,0,0,  0.00, 36.36,0,3,  0.00,100.00
29,55,21,0,0,  0.00, 38.18,0,4,  0.00,100.00
30,55,21,20,21, 36.36, 38.18,4,4, 95.24,100.00
31,55,22,20,21, 36.36, 40.00,4,5, 95.24,100.00
32,55,8,0,0,  0.00, 14.55,0,1,  0.00,100.00
33,55,9,0,0,  0.00, 16.36,0,2,  0.00,100.00
34,55,9,4,28,  7.27, 16.36,4,2, 14.29,100.00
35,55,10,4,28,  7.27, 18.18,4,3, 14.29,100.00
36,55,9,0,0,  0.00, 16.36,0,2,  0.00,100.00
37,55,10,0,0,  0.00, 18.18,0,3,  0.00,100.00
38,55,10,4,28,  7.27, 18.18,4,3, 14.29,100.00
39,55,11,4,28,  7.27, 20.00,4,4, 14.29,100.00
40,55,11,0,0,  0.00, 20.00,0,2,  0.00,100.00
41,55,12,0,0,  0.00, 21.82,0,3,  0.00,100.00
42,55,12,4,28,  7.27, 21.82,4,3, 14.29,100.00
43,55,13,4,28,  7.27, 23.64,4,4, 14.29,100.00
44,55,12,0,0,  0.00, 21.82,0,3,  0.00,100.00
45,55,13,0,0,  0.00, 23.64,0,4,  0.00,100.00
46,55,13,4,28,  7.27, 23.64,4,4, 14.29,100.00
47,55,14,4,28,  7.27, 25.45,4,5, 14.29,100.00
48,55,24,0,0,  0.00, 43.64,0,2,  0.00,100.00
49,55,25,0,0,  0.00, 45.45,0,3,  0.00,100.00
50,55,25,4,28,  7.27, 45.45,4,3, 14.29,100.00
51,55,26,4,28,  7.27, 47.27,4,4, 14.29,100.00
52,55,25,0,0,  0.00, 45.45,0,3,  0.00,100.00
53,55,26,0,0,  0.00, 47.27,0,4,  0.00,100.00
54,55,26,11,29, 20.00, 47.27,5,4, 37.93,100.00
55,55,27,11,29, 20.00, 49.09,5,5, 37.93,100.00
56,55,27,0,0,  0.00, 49.09,0,3,  0.00,100.00
57,55,28,0,0,  0.00, 50.91,0,4,  0.00,100.00
58,55,28,8,28, 14.55, 50.91,4,4, 28.57,100.00
59,55,29,8,28, 14.55, 52.73,4,5, 28.57,100.00
60,55,28,0,0,  0.00, 50.91,0,4,  0.00,100.00
61,55,29,0,0,  0.00, 52.73,0,5,  0.00,100.00
62,55,29,28,29, 50.91, 52.73,5,5, 96.55,100.00
63,55,30,28,29, 50.91, 54.55,5,6, 96.55,100.00
64,55,1,0,0,  0.00,  1.82,0,1,  0.00,100.00
65,55,2,0,0,  0.00,  3.64,0,2,  0.00,100.00
66,55,2,4,28,  7.27,  3.64,4,2, 14.29,100.00
67,55,3,4,28,  7.27,  5.45,4,3, 14.29,100.00
68,55,2,0,0,  0.00,  3.64,0,2,  0.00,100.00
69,55,3,0,0,  0.00,  5.45,0,3,  0.00,100.00
70,55,3,4,28,  7.27,  5.45,4,3, 14.29,100.00
71,55,4,4,28,  7.27,  7.27,4,4, 14.29,100.00
72,55,4,0,0,  0.00,  7.27,0,2,  0.00,100.00
73,55,5,0,0,  0.00,  9.09,0,3,  0.00,100.00
74,55,5,4,28,  7.27,  9.09,4,3, 14.29,100.00
75,55,6,4,28,  7.27, 10.91,4,4, 14.29,100.00
76,55,5,0,0,  0.00,  9.09,0,3,  0.00,100.00
77,55,6,0,0,  0.00, 10.91,0,4,  0.00,100.00
78,55,6,4,28,  7.27, 10.91,4,4, 14.29,100.00
79,55,7,4,28,  7.27, 12.73,4,5, 14.29,100.00
80,55,17,0,0,  0.00, 30.91,0,2,  0.00,100.00
81,55,18,0,0,  0.00, 32.73,0,3,  0.00,100.00
82,55,18,4,28,  7.27, 32.73,4,3, 14.29,100.00
83,55,19,4,28,  7.27, 34.55,4,4, 14.29,100.00
84,55,18,0,0,  0.00, 32.73,0,3,  0.00,100.00
85,55,19,0,0,  0.00, 34.55,0,4,  0.00,100.00
