index,totalAssertions,validAssertions,passedAssertions,totalAssertionsforQLTY,measuredPROD,referencePROD, measuredUS, referenceUS, measuredQLTY, referenceQLTY
0,33,0,0,0,  0.00,  0.00,0,0,  0.00,  0.00
1,33,8,0,0,  0.00, 24.24,0,1,  0.00,100.00
2,33,1,1,3,  3.03,  3.03,1,1, 33.33,100.00
3,33,9,1,3,  3.03, 27.27,1,2, 33.33,100.00
4,33,2,0,0,  0.00,  6.06,0,1,  0.00,100.00
5,33,10,0,0,  0.00, 30.30,0,2,  0.00,100.00
6,33,3,1,3,  3.03,  9.09,1,2, 33.33,100.00
7,33,11,1,3,  3.03, 33.33,1,3, 33.33,100.00
8,33,4,0,0,  0.00, 12.12,0,1,  0.00,100.00
9,33,12,0,0,  0.00, 36.36,0,2,  0.00,100.00
10,33,5,1,3,  3.03, 15.15,1,2, 33.33,100.00
11,33,13,1,3,  3.03, 39.39,1,3, 33.33,100.00
12,33,6,0,0,  0.00, 18.18,0,2,  0.00,100.00
13,33,14,0,0,  0.00, 42.42,0,3,  0.00,100.00
14,33,7,1,3,  3.03, 21.21,1,3, 33.33,100.00
15,33,15,1,3,  3.03, 45.45,1,4, 33.33,100.00
16,33,6,1,3,  3.03, 18.18,1,1, 33.33,100.00
17,33,14,1,3,  3.03, 42.42,1,2, 33.33,100.00
18,33,7,1,3,  3.03, 21.21,1,2, 33.33,100.00
19,33,15,1,3,  3.03, 45.45,1,3, 33.33,100.00
20,33,8,4,11, 12.12, 24.24,3,2, 36.36,100.00
21,33,16,4,11, 12.12, 48.48,3,3, 36.36,100.00
22,33,9,4,11, 12.12, 27.27,3,3, 36.36,100.00
23,33,17,4,11, 12.12, 51.52,3,4, 36.36,100.00
24,33,10,1,3,  3.03, 30.30,1,2, 33.33,100.00
25,33,18,1,3,  3.03, 54.55,1,3, 33.33,100.00
26,33,11,1,3,  3.03, 33.33,1,3, 33.33,100.00
27,33,19,1,3,  3.03, 57.58,1,4, 33.33,100.00
28,33,12,4,11, 12.12, 36.36,3,3, 36.36,100.00
29,33,20,4,11, 12.12, 60.61,3,4, 36.36,100.00
30,33,13,4,11, 12.12, 39.39,3,4, 36.36,100.00
31,33,21,4,11, 12.12, 63.64,3,5, 36.36,100.00
32,33,3,0,0,  0.00,  9.09,0,1,  0.00,100.00
33,33,11,0,0,  0.00, 33.33,0,2,  0.00,100.00
34,33,4,1,3,  3.03, 12.12,1,2, 33.33,100.00
35,33,12,1,3,  3.03, 36.36,1,3, 33.33,100.00
36,33,5,0,0,  0.00, 15.15,0,2,  0.00,100.00
37,33,13,0,0,  0.00, 39.39,0,3,  0.00,100.00
38,33,6,1,3,  3.03, 18.18,1,3, 33.33,100.00
39,33,14,1,3,  3.03, 42.42,1,4, 33.33,100.00
40,33,7,0,0,  0.00, 21.21,0,2,  0.00,100.00
41,33,15,0,0,  0.00, 45.45,0,3,  0.00,100.00
42,33,8,1,3,  3.03, 24.24,1,3, 33.33,100.00
43,33,16,1,3,  3.03, 48.48,1,4, 33.33,100.00
44,33,9,0,0,  0.00, 27.27,0,3,  0.00,100.00
45,33,17,0,0,  0.00, 51.52,0,4,  0.00,100.00
46,33,10,1,3,  3.03, 30.30,1,4, 33.33,100.00
47,33,18,1,3,  3.03, 54.55,1,5, 33.33,100.00
48,33,9,1,3,  3.03, 27.27,1,2, 33.33,100.00
49,33,17,1,3,  3.03, 51.52,1,3, 33.33,100.00
50,33,10,1,3,  3.03, 30.30,1,3, 33.33,100.00
51,33,18,1,3,  3.03, 54.55,1,4, 33.33,100.00
52,33,11,4,11, 12.12, 33.33,3,3, 36.36,100.00
53,33,19,4,11, 12.12, 57.58,3,4, 36.36,100.00
54,33,12,4,11, 12.12, 36.36,3,4, 36.36,100.00
55,33,20,4,11, 12.12, 60.61,3,5, 36.36,100.00
56,33,13,3,7,  9.09, 39.39,2,3, 42.86,100.00
57,33,21,3,7,  9.09, 63.64,2,4, 42.86,100.00
58,33,14,4,7, 12.12, 42.42,2,4, 57.14,100.00
59,33,22,4,7, 12.12, 66.67,2,5, 57.14,100.00
60,33,15,7,15, 21.21, 45.45,4,4, 46.67,100.00
61,33,23,7,15, 21.21, 69.70,4,5, 46.67,100.00
62,33,16,9,15, 27.27, 48.48,4,5, 60.00,100.00
63,33,24,9,15, 27.27, 72.73,4,6, 60.00,100.00
64,33,4,0,0,  0.00, 12.12,0,1,  0.00,100.00
65,33,12,0,0,  0.00, 36.36,0,2,  0.00,100.00
66,33,5,1,3,  3.03, 15.15,1,2, 33.33,100.00
67,33,13,1,3,  3.03, 39.39,1,3, 33.33,100.00
68,33,6,0,0,  0.00, 18.18,0,2,  0.00,100.00
69,33,14,0,0,  0.00, 42.42,0,3,  0.00,100.00
70,33,7,1,3,  3.03, 21.21,1,3, 33.33,100.00
71,33,15,1,3,  3.03, 45.45,1,4, 33.33,100.00
72,33,8,0,0,  0.00, 24.24,0,2,  0.00,100.00
73,33,16,0,0,  0.00, 48.48,0,3,  0.00,100.00
74,33,9,1,3,  3.03, 27.27,1,3, 33.33,100.00
75,33,17,1,3,  3.03, 51.52,1,4, 33.33,100.00
76,33,10,0,0,  0.00, 30.30,0,3,  0.00,100.00
77,33,18,0,0,  0.00, 54.55,0,4,  0.00,100.00
78,33,11,1,3,  3.03, 33.33,1,4, 33.33,100.00
79,33,19,1,3,  3.03, 57.58,1,5, 33.33,100.00
