Experiment,Subject,Task,Instrument,Treatment,Session,PERTUS,QLTY,PROD
PT,PTE001,MR,EP,ITLD,1,0.692307692,60.62,35.29
PT,PTE002,MR,EP,ITLD,1,0.615384615,50.97,33.33
PT,PTE004,MR,EP,ITLD,1,0.846153846,70.71,35.29
PT,PTE005,MR,EP,TDD,2,0,0,0
PT,PTE006,MR,EP,TDD,2,0.307692308,40.83,19.61
PT,PTE007,MR,EP,TDD,2,0.307692308,50.83,21.57
PT,PTE008,MR,EP,ITLD,1,0.307692308,37.22,15.69
PT,PTE009,MR,EP,TDD,2,0,0,0
PT,PTE010,MR,EP,TDD,2,0.538461538,53.97,27.45
PT,PTE011,MR,EP,TDD,2,0.230769231,42.22,11.67
PT,PTE012,MR,EP,ITLD,1,0.923076923,67.31,41.18
PT,PTE013,MR,EP,ITLD,1,0.923076923,68.98,47.06
PT,PTE014,MR,EP,TDD,2,0.923076923,85.83,52.94
PT,PTE015,MR,EP,TDD,2,0.846153846,70.71,35.29
PT,PTE016,MR,EP,ITLD,1,0.230769231,42.22,11.76
PT,PTE017,MR,EP,TDD,2,0.384615385,46.67,17.65
PT,PTE018,MR,EP,ITLD,1,0,0,0
PT,PTE001,BSK,EP,TDD,2,0.642857143,33.15,21.92
PT,PTE002,BSK,EP,TDD,2,0.285714286,27.86,9.59
PT,PTE004,BSK,EP,TDD,2,0.571428571,29.26,17.81
PT,PTE005,BSK,EP,ITLD,1,0,0,0
PT,PTE006,BSK,EP,ITLD,1,1,36.98,34.25
PT,PTE007,BSK,EP,ITLD,1,0.5,27.82,15.07
PT,PTE008,BSK,EP,TDD,2,0,0,0
PT,PTE009,BSK,EP,ITLD,1,0.642857143,34.07,21.92
PT,PTE010,BSK,EP,ITLD,1,0.571428571,32.38,19.18
PT,PTE011,BSK,EP,ITLD,1,1,35.24,31.51
PT,PTE012,BSK,EP,TDD,2,0.571428571,22.85,16.44
PT,PTE013,BSK,EP,TDD,2,0.642857143,32.49,20.55
PT,PTE014,BSK,EP,ITLD,1,1,35.88,31.51
PT,PTE015,BSK,EP,ITLD,1,1,35.79,32.88
PT,PTE016,BSK,EP,TDD,2,0.642857143,34.07,21.92
PT,PTE017,BSK,EP,ITLD,1,0.357142857,20.7,12.31
PT,PTE018,BSK,EP,TDD,2,0,0,0
EC,HERHL01,MR,EP,ITLD,1,0.076923077,6.67,1.96
EC,HERHL02,MR,EP,TDD,2,0.076923077,6.67,1.96
EC,HERHL03,MR,EP,TDD,2,1,67.52,49.02
EC,HERHL04,MR,EP,ITLD,1,0,0,0
EC,HERHL05,MR,EP,TDD,2,0.769230769,66,29.41
EC,HERHL06,MR,EP,TDD,2,0.153846154,38.33,9.8
EC,HERHL07,MR,EP,ITLD,1,0.538461538,53.02,25.49
EC,HERHL08,MR,EP,ITLD,1,0.461538462,46.3,25.49
EC,HERHL09,MR,EP,TDD,2,0.846153846,70.71,35.29
EC,HERHL10,MR,EP,ITLD,1,0.538461538,49.84,21.57
EC,HERHL11,MR,EP,TDD,2,0.615384615,56.94,25.49
EC,HERHL12,MR,EP,ITLD,1,0.538461538,50.16,19.61
EC,HERHL13,MR,EP,ITLD,1,1,65.98,45.1
EC,HERHL14,MR,EP,ITLD,1,0.923076923,66.76,39.22
EC,HERHL15,MR,EP,ITLD,1,0.076923077,6.67,1.96
EC,HERHL16,MR,EP,TDD,2,0.846153846,68.28,27.45
EC,HERHL18,MR,EP,TDD,2,0.153846154,28.33,3.92
EC,HERHL19,MR,EP,TDD,2,0.153846154,28.33,3.92
EC,HERHL20,MR,EP,ITLD,1,0.846153846,70.71,35.29
EC,HERHL21,MR,EP,TDD,2,0.615384615,56.11,23.53
EC,HERHL01,BSK,EP,TDD,2,0.785714286,28.4,24.29
EC,HERHL02,BSK,EP,ITLD,1,0,0,0
EC,HERHL03,BSK,EP,ITLD,1,0.714285714,78.38,54.29
EC,HERHL04,BSK,EP,TDD,2,0.642857143,28.23,20
EC,HERHL05,BSK,EP,ITLD,1,0,0,0
EC,HERHL06,BSK,EP,ITLD,1,0.285714286,24.29,8.57
EC,HERHL07,BSK,EP,TDD,2,0.571428571,35,21.43
EC,HERHL08,BSK,EP,TDD,2,0.928571429,36.41,30
EC,HERHL09,BSK,EP,ITLD,1,0.357142857,62.29,24.29
EC,HERHL10,BSK,EP,TDD,2,0,0,0
EC,HERHL11,BSK,EP,ITLD,1,0,0,0
EC,HERHL12,BSK,EP,TDD,2,0.571428571,33.21,20
EC,HERHL13,BSK,EP,TDD,2,0.785714286,29.16,25.71
EC,HERHL14,BSK,EP,TDD,2,0.642857143,33.76,20
EC,HERHL15,BSK,EP,TDD,2,0.428571429,37.02,17.14
EC,HERHL16,BSK,EP,ITLD,1,0,0,0
EC,HERHL18,BSK,EP,ITLD,1,0.928571429,40.38,35.71
EC,HERHL19,BSK,EP,ITLD,1,0.571428571,23.72,15.71
EC,HERHL20,BSK,EP,TDD,2,0.571428571,35,21.43
EC,HERHL21,BSK,EP,ITLD,1,0,0,0
PT,PTE001,MR,AH,ITLD,1,1,100,100
PT,PTE002,MR,AH,ITLD,1,0.818181818,88,71.91
PT,PTE004,MR,AH,ITLD,1,0.545454545,100,48.31
PT,PTE005,MR,AH,TDD,2,0,0,0
PT,PTE006,MR,AH,TDD,2,0.545454545,77.46,42.7
PT,PTE007,MR,AH,TDD,2,0,0,0
PT,PTE008,MR,AH,ITLD,1,0.272727273,77.27,15.73
PT,PTE009,MR,AH,TDD,2,0,0,0
PT,PTE010,MR,AH,TDD,2,0,0,0
PT,PTE011,MR,AH,TDD,2,0.181818182,86.36,10.11
PT,PTE012,MR,AH,ITLD,1,1,90.18,89.89
PT,PTE013,MR,AH,ITLD,1,1,100,100
PT,PTE014,MR,AH,TDD,2,1,90.18,89.89
PT,PTE015,MR,AH,TDD,2,1,81.23,77.53
PT,PTE016,MR,AH,ITLD,1,0.818181818,61.16,50.56
PT,PTE017,MR,AH,TDD,2,0.272727273,64.02,11.24
PT,PTE018,MR,AH,ITLD,1,0,0,0
PT,PTE001,BSK,AH,TDD,2,1,92.18,89.29
PT,PTE002,BSK,AH,TDD,2,0.230769231,83.33,12.5
PT,PTE004,BSK,AH,TDD,2,0.846153846,88.86,76.79
PT,PTE005,BSK,AH,ITLD,1,0.076923077,50,1.79
PT,PTE006,BSK,AH,ITLD,1,0.692307692,100,83.93
PT,PTE007,BSK,AH,ITLD,1,0.769230769,78,62.5
PT,PTE008,BSK,AH,TDD,2,0.076923077,50,1.79
PT,PTE009,BSK,AH,ITLD,1,1,94.87,96.43
PT,PTE010,BSK,AH,ITLD,1,1,89.36,87.5
PT,PTE011,BSK,AH,ITLD,1,0.846153846,100,91.07
PT,PTE012,BSK,AH,TDD,2,0.769230769,85.33,53.57
PT,PTE013,BSK,AH,TDD,2,1,97.44,98.21
PT,PTE014,BSK,AH,ITLD,1,1,92.31,96.43
PT,PTE015,BSK,AH,ITLD,1,0.846153846,100,91.07
PT,PTE016,BSK,AH,TDD,2,0.846153846,90.91,87.5
PT,PTE017,BSK,AH,ITLD,1,0.153846154,58.33,5.36
PT,PTE018,BSK,AH,TDD,2,0.615384615,96.88,71.43
EC,HERHL01,MR,AH,ITLD,1,0,0,0
EC,HERHL02,MR,AH,TDD,2,0,0,0
EC,HERHL03,MR,AH,TDD,2,1,100,100
EC,HERHL04,MR,AH,ITLD,1,0,0,0
EC,HERHL05,MR,AH,TDD,2,0.545454545,75.54,35.63
EC,HERHL06,MR,AH,TDD,2,0.272727273,58.71,10.34
EC,HERHL07,MR,AH,ITLD,1,0.454545455,60.71,22.99
EC,HERHL08,MR,AH,ITLD,1,0.545454545,95.83,47.13
